id,name,accuracy,power,type,pp,effect_chance,priority,damage_class,generation_introduced,description,short_description,category
198,bone-rush,90.0,25.0,ground,10,,0,physical,generation-ii,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hits 2-5 times in one turn.,
199,lock-on,,,normal,5,,0,status,generation-ii,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.

One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.

If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.

This effect is passed on by baton pass.",Ensures that the user’s next move will hit the target.,
200,outrage,100.0,120.0,dragon,10,,0,physical,generation-ii,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.","Hits every turn for 2-3 turns, then confuses the user.",
201,sandstorm,,,rock,10,,0,status,generation-ii,"Changes the weather to a sandstorm for five turns.  Pokémon that are not ground, rock, or steel take 1/16 their max HP at the end of every turn.  Every rock Pokémon’s original Special Defense is raised by 50% for the duration of this effect.

solar beam’s power is halved.

moonlight, morning sun, and synthesis only heal 1/4 the user’s max HP.",Changes the weather to a sandstorm for five turns.,wind
202,giga-drain,100.0,75.0,grass,10,,0,special,generation-ii,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,Drains half the damage inflicted to heal the user.,
203,endure,,,normal,10,,4,status,generation-ii,"The user’s HP cannot be lowered below 1 by any means for the remainder of this turn.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

This move cannot be selected by assist or metronome.",Prevents the user’s HP from lowering below 1 this turn.,
204,charm,100.0,,fairy,20,,0,status,generation-ii,Lowers the target’s Attack by two stages.,Lowers the target’s Attack by two stages.,
205,rollout,90.0,30.0,rock,20,,0,physical,generation-ii,"Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.

If the user has used defense curl since entering the field, this move has double power.","Power doubles every turn this move is used in succession after the first, resetting after five turns.",
206,false-swipe,100.0,40.0,normal,40,,0,physical,generation-ii,Inflicts regular damage.  Will not reduce the target’s HP below 1.,Cannot lower the target’s HP below 1.,
207,swagger,85.0,,normal,15,,0,status,generation-ii,"Raises the target’s Attack by two stages, then confuses it.  If the target’s Attack cannot be raised by two stages, the confusion is not applied.",Raises the target’s Attack by two stages and confuses the target.,
208,milk-drink,,,normal,5,,0,status,generation-ii,Heals the user for half its max HP.,Heals the user by half its max HP.,
209,spark,100.0,65.0,electric,20,30.0,0,physical,generation-ii,Inflicts regular damage.  Has a 30% chance to paralyze the target.,Has a 30% chance to paralyze the target.,
210,fury-cutter,95.0,40.0,bug,20,,0,physical,generation-ii,"Inflicts regular damage.  Power doubles after every time this move is used, whether consecutively or not, maxing out at 16x.  If this move misses or the user leaves the field, power resets.","Power doubles every turn this move is used in succession after the first, maxing out after five turns.",slicing
211,steel-wing,90.0,70.0,steel,25,10.0,0,physical,generation-ii,Inflicts regular damage. Has a 10% chance to raise the user’s Defense one stage.,Has a 10% chance to raise the user’s Defense by one stage.,
212,mean-look,,,normal,5,,0,status,generation-ii,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass.",Prevents the target from leaving battle.,
213,attract,100.0,,normal,15,,0,status,generation-ii,"Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn.  If the user and target are the same gender, or either is genderless, this move will fail.  If either Pokémon leaves the field, this effect ends.","Target falls in love if it has the opposite gender, and has a 50% chance to refuse attacking the user.",
214,sleep-talk,,,normal,10,,0,status,generation-ii,"Only usable if the user is sleeping.  Randomly selects and uses one of the user’s other three moves.  Use of the selected move requires and costs 0 PP.

This move will not select assist, bide, bounce, chatter, copycat, dig, dive, fly, focus punch, me first, metronome, mirror move, shadow force, skull bash, sky attack, sky drop, sleep talk, solar beam, razor wind, or uproar.

If the selected move requires a recharge turn—i.e., one of blast burn, frenzy plant, giga impact, hydro cannon, hyper beam, roar of time, or rock wrecker—and the user is still sleeping next turn, then it’s forced to use this move again and pay another PP for the recharge turn.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.",Randomly uses one of the user’s other three moves.  Only works if the user is sleeping.,
215,heal-bell,,,normal,5,,0,status,generation-ii,Removes major status effects and confusion from every Pokémon in the user’s party.,Cures the entire party of major status effects.,sound-based
216,return,100.0,,normal,20,,0,physical,generation-ii,"Inflicts regular damage.  Power increases with happiness, given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.","Power increases with happiness, up to a maximum of 102.",
217,present,90.0,,normal,15,,0,physical,generation-ii,"Randomly uses one of the following effects.

Effect                                             | Chance
-------------------------------------------------- | -----:
Inflicts regular damage with 40 power  |    40%
Inflicts regular damage with 80 power  |    30%
Inflicts regular damage with 120 power |    10%
Heals the target for 1/4 its max HP    |    20%

On average, this move inflicts regular damage with 52 power and heals the target for 1/20 its max HP.",Randomly inflicts damage with power from 40 to 120 or heals the target for 1/4 its max HP.,
218,frustration,100.0,,normal,20,,0,physical,generation-ii,"Inflicts regular damage.  Power increases inversely with happiness, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.","Power increases as happiness decreases, up to a maximum of 102.",
219,safeguard,,,normal,25,,0,status,generation-ii,"Protects Pokémon on the user’s side of the field from major status effects and confusion for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the field.

If yawn is used while this move is in effect, it will immediately fail.

defog used by an opponent will end this effect.

This effect does not prevent the confusion caused by outrage, petal dance, or thrash.",Protects the user’s field from major status ailments and confusion for five turns.,
220,pain-split,,,normal,20,,0,status,generation-ii,"Changes the user’s and target’s remaining HP to the average of their current remaining HP.  Ignores accuracy and evasion modifiers.  This effect does not count as inflicting damage for other moves and effects that respond to damage taken.

This effect fails against a substitute.",Sets the user’s and targets’s HP to the average of their current HP.,
221,sacred-fire,95.0,100.0,fire,5,50.0,0,physical,generation-ii,"Inflicts regular damage.  Has a 50% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw.",Has a 50% chance to burn the target.  Lets frozen Pokémon thaw themselves.,
222,magnitude,100.0,,ground,30,,0,physical,generation-ii,"Inflicts regular damage.  Power is selected at random between 10 and 150, with an average of 71:

Magnitude | Power | Chance
--------: | ----: | -----:
        4 |    10 |     5%
        5 |    30 |    10%
        6 |    50 |    20%
        7 |    70 |    30%
        8 |    90 |    20%
        9 |   110 |    10%
       10 |   150 |     5%

This move has double power against Pokémon currently underground due to dig.",Power varies randomly from 10 to 150.,
223,dynamic-punch,50.0,100.0,fighting,5,100.0,0,physical,generation-ii,Inflicts regular damage.  Has a 100% chance to confuse the target.,Has a 100% chance to confuse the target.,punching
224,megahorn,85.0,120.0,bug,10,,0,physical,generation-ii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
225,dragon-breath,100.0,60.0,dragon,20,30.0,0,special,generation-ii,Inflicts regular damage.  Has a 30% chance to paralyze the target.,Has a 30% chance to paralyze the target.,
226,baton-pass,,,normal,40,,0,status,generation-ii,"User switches out, and the trainer selects a replacement Pokémon from the party.  Stat changes, confusion, and persistent move effects are passed along to the replacement Pokémon.

The following move effects are passed:

* aqua ring
* both the user’s and target’s effect of block, mean look, and spider web
* the curse effect of curse
* embargo
* focus energy or an activated lansat berry
* gastro acid
* ingrain
* being sapped by leech seed
* being targeted by lock on or mind reader
* magnet rise
* perish song’s counter
* power trick
* substitute; the doll’s HP is unchanged

The replacement Pokémon does not trigger effects that respond to Pokémon switching in.",Allows the trainer to switch out the user and pass effects along to its replacement.,
227,encore,100.0,,normal,5,,0,status,generation-ii,"The next 4–8 times (selected at random) the target attempts to move, it is forced to repeat its last used move.  If the selected move allows the trainer to select a target, an opponent will be selected at random each turn.  If the target is prevented from using the selected move by some other effect, struggle will be used instead.  This effect ends if the selected move runs out of PP.

If the target hasn’t used a move since entering the field, if it tried to use a move this turn and failed, if it does not know the selected move, or if the selected move has 0 PP remaining, this move will fail.  If the target’s last used move was encore, mimic, mirror move, sketch, struggle, or transform, this move will fail.",Forces the target to repeat its last used move every turn for 2 to 6 turns.,
228,pursuit,100.0,40.0,dark,20,,0,physical,generation-ii,"Inflicts regular damage.  If the target attempts to switch out this turn before the user acts, this move hits the target before it leaves and has double power.

This effect can still hit a Pokémon that switches out when it has a substitute up or when an ally has used follow me.","Has double power against, and can hit, Pokémon attempting to switch out.",
229,rapid-spin,100.0,50.0,normal,40,100.0,0,physical,generation-ii,"Inflicts regular damage.  Removes leech seed from the user, frees the user from bind, clamp, fire spin, magma storm, sand tomb, whirlpool, and wrap, and clears spikes, stealth rock, and toxic spikes from the user’s side of the field.  If this move misses or has no effect, its effect doesn’t activate.","Frees the user from binding moves, removes Leech Seed, and blows away Spikes.",
230,sweet-scent,100.0,,normal,20,,0,status,generation-ii,Lowers the target’s evasion by one stage.,Lowers the target’s evasion by one stage.,
231,iron-tail,75.0,100.0,steel,15,30.0,0,physical,generation-ii,Inflicts regular damage.  Has a 30% chance to lower the target’s Defense by one stage.,Has a 30% chance to lower the target’s Defense by one stage.,
232,metal-claw,95.0,50.0,steel,35,10.0,0,physical,generation-ii,Inflicts regular damage. Has a 10% chance to raise the user’s Attack one stage.,Has a 10% chance to raise the user’s Attack by one stage.,
233,vital-throw,,70.0,fighting,10,,-1,physical,generation-ii,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,Never misses.,
234,morning-sun,,,normal,5,,0,status,generation-ii,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",Heals the user by half its max HP.  Affected by weather.,
235,synthesis,,,grass,5,,0,status,generation-ii,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",Heals the user by half its max HP.  Affected by weather.,
236,moonlight,,,fairy,5,,0,status,generation-ii,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",Heals the user by half its max HP.  Affected by weather.,
237,hidden-power,100.0,60.0,normal,15,,0,special,generation-ii,"Inflicts regular damage.  Power and type are determined by the user’s IVs.

Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the IV for each of Special Defense, Special Attack, Speed, Defense, Attack, and HP in that order.  (Bit 1 is 1 if the IV is of the form `4n + 2` or `4n + 3`.  `x` is then 64 * Special Defense IV bit 1, plus 32 * Special Attack IV bit 1, etc.)

Power is always between 30 and 70, inclusive.  Average power is 49.5.

Type is given by `y * 15 / 63`, where `y` is similar to `x` above, except constructed from bit 0.  (Bit 0 is 1 if the IV is odd.)  The result is looked up in the following table.

Value | Type
----: | --------
    0 | fighting
    1 | flying
    2 | poison
    3 | ground
    4 | rock
    5 | bug
    6 | ghost
    7 | steel
    8 | fire
    9 | water
   10 | grass
   11 | electric
   12 | psychic
   13 | ice
   14 | dragon
   15 | dark

This move thus cannot be normal.  Most other types have an equal 1/16 chance to be selected, given random IVs.  However, due to the flooring used here, bug, fighting, and grass appear 5/64 of the time, and dark only 1/64 of the time.",Power and type depend upon user’s IVs.  Power can range from 30 to 70.,
238,cross-chop,80.0,100.0,fighting,5,,0,physical,generation-ii,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.,
239,twister,100.0,40.0,dragon,20,20.0,0,special,generation-ii,"Inflicts regular damage.  Has a 20% chance to make each target flinch.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",Has a 20% chance to make the target flinch.,wind
240,rain-dance,,,water,5,,0,status,generation-ii,"Changes the weather to rain for five turns, during which water moves inflict 50% extra damage, and fire moves inflict half damage.

If the user is holding damp rock, this effect lasts for eight turns.

thunder has 100% accuracy.  If the target has used detect or protect, thunder has a (100 - accuracy)% chance to break through the protection.

solar beam has half power.

moonlight, morning sun, and synthesis heal only 1/4 of the user’s max HP.

Pokémon with swift swim have doubled original Speed.

Pokémon with forecast become water.

Pokémon with dry skin heal 1/8 max HP, Pokémon with hydration are cured of major status effects, and Pokémon with rain dish heal 1/16 max HP at the end of each turn.",Changes the weather to rain for five turns.,
241,sunny-day,,,fire,5,,0,status,generation-ii,"Changes the weather to sunshine for five turns, during which fire moves inflict 50% extra damage, and water moves inflict half damage.

If the user is holding heat rock, this effect lasts for eight turns.

Pokémon cannot become frozen.

thunder has 50% accuracy.

solar beam skips its charge turn.

moonlight, morning sun, and synthesis heal 2/3 of the user’s max HP.

Pokémon with chlorophyll have doubled original Speed.

Pokémon with forecast become fire.

Pokémon with leaf guard are not affected by major status effects.

Pokémon with flower gift change form; every Pokémon on their side of the field have their original Attack and Special Attack increased by 50%.

Pokémon with dry skin lose 1/8 max HP at the end of each turn.

Pokémon with solar power have their original Special Attack raised by 50% but lose 1/8 their max HP at the end of each turn.",Changes the weather to sunny for five turns.,
242,crunch,100.0,80.0,dark,15,20.0,0,physical,generation-ii,Inflicts regular damage.  Has a 20% chance to lower the target’s Defense by one stage.,Has a 20% chance to lower the target’s Defense by one stage.,biting
243,mirror-coat,100.0,,psychic,20,,-5,special,generation-ii,"Targets the last opposing Pokémon to hit the user with a special move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome.",Inflicts twice the damage the user received from the last special hit it took.,
244,psych-up,,,normal,10,,0,status,generation-ii,"Discards the user’s stat changes and copies the target’s.

This move cannot be copied by mirror move.",Discards the user’s stat changes and copies the target’s.,
245,extreme-speed,100.0,80.0,normal,5,,2,physical,generation-ii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
246,ancient-power,100.0,60.0,rock,5,10.0,0,special,generation-ii,Inflicts regular damage. Has a 10% chance to raise all of the user’s stats one stage.,Has a 10% chance to raise all of the user’s stats by one stage.,
247,shadow-ball,100.0,80.0,ghost,15,20.0,0,special,generation-ii,Inflicts regular damage.  Has a 20% chance to lower the target’s Special Defense by one stage.,Has a 20% chance to lower the target’s Special Defense by one stage.,ball and bomb
248,future-sight,100.0,120.0,psychic,10,,0,special,generation-ii,"Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won’t change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.

This effect breaks through wonder guard.

If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.

The damage is applied at the end of the turn, so it ignores endure and focus sash.

This move cannot be copied by mirror move.",Hits the target two turns later.,
249,rock-smash,100.0,40.0,fighting,15,50.0,0,physical,generation-ii,Inflicts regular damage.  Has a 50% chance to lower the target’s Defense by one stage.,Has a 50% chance to lower the target’s Defense by one stage.,
250,whirlpool,85.0,35.0,water,15,100.0,0,special,generation-ii,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

If the target is in the first turn of dive, this move will hit with double power.",Prevents the target from leaving battle and inflicts 1/16 its max HP in damage for 2-5 turns.,
251,beat-up,100.0,,dark,10,,0,physical,generation-ii,"Inflicts typeless regular damage.  Every Pokémon in the user’s party, excepting those that have fainted or have a major status effect, attacks the target.  Calculated stats are ignored; the base stats for the target and assorted attackers are used instead.  The random factor in the damage formula is not used.  dark Pokémon still get STAB.

This effect breaks through wonder guard.",Hits once for every conscious Pokémon the trainer has.,
252,fake-out,100.0,40.0,normal,10,100.0,3,physical,generation-iii,Inflicts regular damage.  Causes the target to flinch.  Can only be used on the user’s first turn after entering the field.,Can only be used as the first move after the user enters battle.  Causes the target to flinch.,
253,uproar,100.0,90.0,normal,10,,0,special,generation-iii,"Inflicts regular damage.  User is forced to use this move for 2–5 turns, selected at random.  All Pokémon on the field wake up, and none can fall to sleep until the lock-in ends.

Pokémon cannot use rest during this effect.

This move cannot be selected by sleep talk.",Forced to use this move for several turns.  Pokémon cannot fall asleep in that time.,sound-based
254,stockpile,,,normal,20,,0,status,generation-iii,"Raises the user’s Defense and Special Defense by one stage each.  Stores energy for use with spit up and swallow.  Up to three levels of energy can be stored, and all are lost if the user leaves the field.  Energy is still stored even if the stat boosts cannot be applied.

If the user uses baton pass, the stat boosts are passed as normal, but the stored energy is not.",Stores energy up to three times for use with Spit Up and Swallow.,
255,spit-up,100.0,,normal,10,,0,special,generation-iii,"Inflicts regular damage.  Power is equal to 100 times the amount of energy stored by stockpile.  Ignores the random factor in the damage formula.  Stored energy is consumed, and the user’s Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail.

This move cannot be copied by mirror move.",Power is 100 times the amount of energy Stockpiled.,
256,swallow,,,normal,10,,0,status,generation-iii,"Heals the user depending on the amount of energy stored by stockpile: 1/4 its max HP after one use, 1/2 its max HP after two uses, or fully after three uses.  Stored energy is consumed, and the user’s Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail.","Recovers 1/4 HP after one Stockpile, 1/2 HP after two Stockpiles, or full HP after three Stockpiles.",
257,heat-wave,90.0,95.0,fire,10,10.0,0,special,generation-iii,Inflicts regular damage.  Has a 10% chance to burn the target.,Has a 10% chance to burn the target.,wind
258,hail,,,ice,10,,0,status,generation-iii,"Changes the weather to hail for five turns, during which non-ice Pokémon are damaged for 1/16 their max HP at the end of every turn.

If the user is holding icy rock, this effect lasts for eight turns.

blizzard has 100% accuracy.  If the target has used detect or protect, blizzard has a (100 - accuracy)% chance to break through the protection.

moonlight, morning sun, and synthesis heal only 1/4 of the user’s max HP.

Pokémon with snow cloak are exempt from this effect’s damage.",Changes the weather to a hailstorm for five turns.,
259,torment,100.0,,dark,15,,0,status,generation-iii,"Prevents the target from attempting to use the same move twice in a row.  When the target leaves the field, this effect ends.

If the target is forced to attempt a repeated move due to choice band, choice scarf, choice specs, disable, encore, taunt, only having PP remaining for one move, or any other effect, the target will use struggle instead.  The target is then free to use the forced move next turn, as it didn’t use that move this turn.",Prevents the target from using the same move twice in a row.,
260,flatter,100.0,,dark,15,,0,status,generation-iii,"Raises the target’s Special Attack by one stage, then confuses it.",Raises the target’s Special Attack by one stage and confuses the target.,
261,will-o-wisp,85.0,,fire,15,,0,status,generation-iii,Burns the target.,Burns the target.,
262,memento,100.0,,dark,10,,0,status,generation-iii,Lowers the target’s Attack and Special Attack by two stages.  User faints.,Lowers the target’s Attack and Special Attack by two stages.  User faints.,
263,facade,100.0,70.0,normal,20,,0,physical,generation-iii,"Inflicts regular damage.  If the user is burned, paralyzed, or poisoned, this move has double power.","Power doubles if user is burned, paralyzed, or poisoned.",
264,focus-punch,100.0,150.0,fighting,20,,-3,physical,generation-iii,"Inflicts regular damage.  If the user takes damage this turn before hitting, this move will fail.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.","If the user takes damage before attacking, the attack is canceled.",punching
265,smelling-salts,100.0,70.0,normal,10,,0,physical,generation-iii,"Inflicts regular damage.  If the target is paralyzed, this move has double power, and the target is cured of its paralysis.","If the target is paralyzed, inflicts double damage and cures the paralysis.",
266,follow-me,,,normal,20,,2,status,generation-iii,"Until the end of this turn, any moves that opposing Pokémon target solely at the user’s ally will instead target the user.  If both Pokémon on the same side of the field use this move on the same turn, the Pokémon that uses it last will become the target.

This effect takes priority over lightning rod and storm drain.

If the user’s ally switches out, opposing Pokémon may still hit it with pursuit.

This move cannot be selected by assist or metronome.",Redirects the target’s single-target effects to the user for this turn.,
267,nature-power,,,normal,20,,0,status,generation-iii,"Uses another move chosen according to the terrain.

Terrain                   | Selected move
------------------------- | ------------------
Building                  | tri attack
Cave                      | rock slide
Deep water                | hydro pump
Desert                    | earthquake
Grass                     | seed bomb
Mountain                  | rock slide
Road                      | earthquake
Shallow water             | hydro pump
Snow                      | blizzard
Tall grass                | seed bomb
electric terrain | thunderbolt
grassy terrain   | energy ball
misty terrain    | moonblast

In Pokémon Battle Revolution:

Terrain        | Selected move
-------------- | ------------------
Courtyard      | tri attack
Crystal        | rock slide
Gateway        | hydro pump
Magma          | rock slide
Main Street    | tri attack
Neon           | tri attack
Stargazer      | rock slide
Sunny Park     | seed bomb
Sunset         | earthquake
Waterfall      | seed bomb

This move cannot be copied by mirror move.",Uses a move which depends upon the terrain.,
268,charge,,,electric,20,,0,status,generation-iii,"Raises the user’s Special Defense by one stage.  If the user uses an electric move next turn, its power will be doubled.",Raises the user’s Special Defense by one stage.  User’s Electric moves have doubled power next turn.,
269,taunt,100.0,,dark,20,,0,status,generation-iii,"Target is forced to only use damaging moves for the next 3–5 turns, selected at random.  Moves that select other moves not known in advance do not count as damaging.

assist, copycat, me first, metronome, mirror move, and sleep talk do not directly inflict damage and thus may not be used.

bide, counter, endeavor, metal burst, and mirror coat are allowed.","For the next few turns, the target can only use damaging moves.",
270,helping-hand,,,normal,20,,5,status,generation-iii,"Boosts the power of the target’s moves by 50% until the end of this turn.

This move cannot be copied by mirror move, nor selected by assist or metronome.",Ally’s next move inflicts half more damage.,
271,trick,100.0,,psychic,10,,0,status,generation-iii,"User and target permanently swap held items.  Works even if one of the Pokémon isn’t holding anything.  If either Pokémon is holding mail, this move will fail.

If either Pokémon has multitype or sticky hold, this move will fail.

If this move results in a Pokémon obtaining choice band, choice scarf, or choice specs, and that Pokémon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move.  This applies even if both Pokémon had a choice item before this move was used.  If the first of the two Pokémon gains a choice item, it may select whatever choice move it wishes next turn.

Neither the user nor the target can recover its item with recycle.

This move cannot be selected by assist or metronome.",User and target swap items.,
272,role-play,,,psychic,10,,0,status,generation-iii,"User’s ability is replaced with the target’s until the user leaves the field.  Ignores accuracy and evasion modifiers.

If the target has flower gift, forecast, illusion, imposter, multitype, stance change, trace, wonder guard, or zen mode, this move will fail.

This move cannot be copied by mirror move.",Copies the target’s ability.,
273,wish,,,normal,10,,0,status,generation-iii,"At the end of the next turn, user will be healed for half its max HP.  If the user is switched out, its replacement will be healed instead for half of the user’s max HP.  If the user faints or is forcefully switched by roar or whirlwind, this effect will not activate.",User will recover half its max HP at the end of the next turn.,
274,assist,,,normal,20,,0,status,generation-iii,"Uses a move from another Pokémon in the user’s party, both selected at random.  Moves from fainted Pokémon can be used.  If there are no eligible Pokémon or moves, this move will fail.

This move will not select assist, chatter, circle throw, copycat, counter, covet, destiny bond, detect, dig, dive, dragon tail, endure, feint, fly focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, phantom force protect, quick guard, roar shadow force, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, whirlwind, or wide guard.

This move cannot be copied by mirror move, nor selected by metronome or sleep talk.",Randomly selects and uses one of the trainer’s other Pokémon’s moves.,
275,ingrain,,,grass,20,,0,status,generation-iii,"Prevents the user from switching out.  User regains 1/16 of its max HP at the end of every turn.  If the user was immune to ground attacks, it will now take normal damage from them.

roar and whirlwind will not affect the user.  The user cannot use magnet rise.

The user may still use u turn to leave the field.

This effect can be passed with baton pass.",Prevents the user from leaving battle.  User regains 1/16 of its max HP every turn.,
276,superpower,100.0,120.0,fighting,5,100.0,0,physical,generation-iii,"Inflicts regular damage, then lowers the user’s Attack and Defense by one stage each.",Lowers the user’s Attack and Defense by one stage after inflicting damage.,
277,magic-coat,,,psychic,15,,4,status,generation-iii,"The first non-damaging move targeting the user this turn that inflicts major status effects, stat changes, or trapping effects will be reflected at its user.

defog, memento, and teeter dance are not reflected.

attract, flatter, gastro acid, leech seed, swagger, worry seed, and yawn are reflected.

This move cannot be copied by mirror move.",Reflects back the first effect move used on the user this turn.,
278,recycle,,,normal,10,,0,status,generation-iii,"User recovers the last item consumed by the user or a Pokémon in its position on the field.  The item must be used again before it can be recovered by this move again.  If the user is holding an item, this move fails.

Items taken or given away by covet, knock off, switcheroo, thief, or trick may not be recovered.",User recovers the item it last used up.,
279,revenge,100.0,60.0,fighting,10,,-4,physical,generation-iii,"Inflicts regular damage.  If the target damaged the user this turn and was the last to do so, this move has double power.

pain split does not count as damaging the user.",Inflicts double damage if the user takes damage before attacking this turn.,
280,brick-break,100.0,75.0,fighting,15,,0,physical,generation-iii,"Destroys any light screen or reflect on the target’s side of the field, then inflicts regular damage.",Destroys Reflect and Light Screen.,
281,yawn,,,normal,10,,0,status,generation-iii,"Puts the target to sleep at the end of the next turn.  Ignores accuracy and evasion modifiers.  If the target leaves the field, this effect is canceled.  If the target has a status effect when this move is used, this move will fail.

If the target is protected by safeguard when this move is used, this move will fail.

insomnia and vital spirit prevent the sleep if the target has either at the end of the next turn, but will not cause this move to fail on use.",Target sleeps at the end of the next turn.,
282,knock-off,100.0,65.0,dark,20,,0,physical,generation-iii,"Inflicts regular damage.  Target loses its held item.

Neither the user nor the target can recover its item with recycle.

If the target has multitype or sticky hold, it will take damage but not lose its item.",Target drops its held item.,
283,endeavor,100.0,,normal,5,,0,physical,generation-iii,"Inflicts exactly enough damage to lower the target’s HP to equal the user’s.  If the target’s HP is not higher than the user’s, this move has no effect.  Type immunity applies, but other type effects are ignored.  This effect counts as damage for moves that respond to damage.",Lowers the target’s HP to equal the user’s.,
284,eruption,100.0,150.0,fire,5,,0,special,generation-iii,"Inflicts regular damage.  Power increases with the user’s remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP.","Inflicts more damage when the user has more HP remaining, with a maximum of 150 power.",
285,skill-swap,,,psychic,10,,0,status,generation-iii,"User and target switch abilities.  Ignores accuracy and evasion modifiers.

If either Pokémon has multitype or wonder guard, this move will fail.",User and target swap abilities.,
286,imprison,,,psychic,10,,0,status,generation-iii,"Prevents any Pokémon on the opposing side of the field from using any move the user knows until the user leaves the field.  This effect is live; if the user obtains new moves while on the field, these moves become restricted.  If no opposing Pokémon knows any of the user’s moves when this move is used, this move will fail.",Prevents the target from using any moves that the user also knows.,
287,refresh,,,normal,20,,0,status,generation-iii,"Removes a burn, paralysis, or poison from the user.","Cleanses the user of a burn, paralysis, or poison.",
288,grudge,,,ghost,5,,0,status,generation-iii,"If the user faints before it next acts, the move that fainted it will have its PP dropped to 0.  End-of-turn damage does not trigger this effect.","If the user faints this turn, the PP of the move that fainted it drops to 0.",
289,snatch,,,dark,10,,4,status,generation-iii,"The next time a Pokémon uses a beneficial move on itself or itself and its ally this turn, the user of this move will steal the move and use it itself.  Moves which may be stolen by this move are identified by the ""snatchable"" flag.

If two Pokémon use this move on the same turn, the faster Pokémon will steal the first beneficial move, and the slower Pokémon will then steal it again—thus, only the slowest Pokémon using this move ultimately gains a stolen move’s effect.

If the user steals psych up, it will target the Pokémon that used psych up.  If the user was the original target of psych up, and the Pokémon that originally used it’s affected by pressure, it will only lose 1 PP.

This move cannot be copied by mirror move, nor selected by assist or metronome.","Steals the target’s move, if it’s self-targeted.",
